tem,glnonfil,temnorth,temsouth,,,
-0.566,-0.418,-0.65,-0.481,,,
-0.514,-0.429,-0.563,-0.464,,,
-0.566,-0.443,-0.599,-0.533,,,
-0.429,-0.417,-0.593,-0.266,,,
-0.504,-0.372,-0.684,-0.324,,,
-0.463,-0.354,-0.556,-0.371,,,
-0.585,-0.589,-0.844,-0.327,,,
-0.49,-0.429,-0.548,-0.432,,,
-0.656,-0.536,-0.946,-0.366,,,
-0.553,-0.433,-0.68,-0.426,,,
-0.421,-0.508,-0.455,-0.387,,,
-0.635,-0.478,-0.701,-0.569,,,
-0.606,-0.542,-0.607,-0.606,,,
-0.637,-0.483,-0.627,-0.647,,,
-0.42,-0.331,-0.368,-0.473,,,
-0.405,-0.503,-0.274,-0.536,,,
-0.357,-0.337,-0.36,-0.354,,,
-0.362,-0.273,-0.355,-0.368,,,
-0.384,-0.28,-0.581,-0.188,,,
-0.218,-0.173,-0.163,-0.272,,,
-0.48,-0.428,-0.58,-0.379,,,
-0.479,-0.496,-0.672,-0.286,,,
-0.487,-0.411,-0.665,-0.31,,,
-0.362,-0.351,-0.389,-0.335,,,
-0.293,-0.216,-0.34,-0.245,,,
-0.502,-0.402,-0.468,-0.536,,,
-0.302,-0.301,-0.15,-0.455,,,
-0.457,-0.348,-0.389,-0.526,,,
-0.391,-0.438,-0.386,-0.395,,,
-0.413,-0.391,-0.402,-0.424,,,
-0.491,-0.441,-0.617,-0.365,,,
-0.395,-0.441,-0.289,-0.501,,,
-0.744,-0.605,-1.021,-0.467,,,
-0.659,-0.582,-0.77,-0.548,,,
-0.445,-0.483,-0.427,-0.464,,,
-0.483,-0.473,-0.484,-0.481,,,
-0.529,-0.401,-0.439,-0.62,,,
-0.526,-0.42,-0.443,-0.609,,,
-0.389,-0.314,-0.334,-0.444,,,
-0.446,-0.396,-0.507,-0.384,,,
-0.389,-0.365,-0.292,-0.485,,,
-0.445,-0.506,-0.413,-0.476,,,
-0.435,-0.434,-0.382,-0.489,,,
-0.497,-0.424,-0.421,-0.572,,,
-0.618,-0.616,-0.67,-0.567,,,
-0.587,-0.482,-0.754,-0.42,,,
-0.597,-0.569,-0.698,-0.496,,,
-0.352,-0.263,-0.299,-0.405,,,
-0.411,-0.342,-0.376,-0.447,,,
-0.322,-0.313,-0.177,-0.466,,,
-0.339,-0.32,-0.198,-0.48,,,
-0.311,-0.296,-0.233,-0.388,,,
-0.325,-0.24,-0.285,-0.365,,,
-0.166,-0.129,-0.105,-0.228,,,
-0.265,-0.214,-0.293,-0.237,,,
-0.259,-0.187,-0.381,-0.137,,,
-0.297,-0.092,-0.512,-0.081,,,
-0.007,-0.118,0.032,-0.045,,,
-0.087,-0.084,-0.171,-0.004,,,
-0.087,-0.017,-0.021,-0.153,,,
-0.158,-0.093,-0.159,-0.157,,,
-0.213,-0.169,-0.088,-0.337,,,
-0.281,-0.208,-0.194,-0.368,,,
-0.307,-0.244,-0.214,-0.4,,,
-0.342,-0.394,-0.237,-0.446,,,
-0.37,-0.321,-0.363,-0.377,,,
-0.506,-0.409,-0.737,-0.276,,,
-0.344,-0.185,-0.461,-0.227,,,
-0.534,-0.367,-0.678,-0.39,,,
-0.465,-0.382,-0.529,-0.401,,,
-0.611,-0.476,-0.731,-0.492,,,
-0.494,-0.347,-0.484,-0.505,,,
-0.536,-0.416,-0.525,-0.548,,,
-0.495,-0.408,-0.464,-0.526,,,
-0.489,-0.419,-0.435,-0.543,,,
-0.467,-0.426,-0.422,-0.512,,,
-0.482,-0.502,-0.441,-0.524,,,
-0.439,-0.507,-0.3,-0.578,,,
-0.67,-0.571,-0.811,-0.53,,,
-0.399,-0.425,-0.466,-0.333,,,
-0.58,-0.539,-0.682,-0.478,,,
-0.598,-0.502,-0.826,-0.369,,,
-0.363,-0.4,-0.444,-0.281,,,
-0.448,-0.383,-0.546,-0.35,,,
-0.346,-0.213,-0.388,-0.304,,,
-0.375,-0.284,-0.267,-0.483,,,
-0.4,-0.326,-0.277,-0.522,,,
-0.355,-0.322,-0.204,-0.506,,,
-0.257,-0.214,-0.13,-0.384,,,
-0.343,-0.333,-0.366,-0.32,,,
-0.534,-0.551,-0.698,-0.37,,,
-0.218,-0.126,-0.116,-0.32,,,
-0.465,-0.405,-0.591,-0.339,,,
-0.29,-0.149,-0.383,-0.196,,,
-0.533,-0.489,-0.785,-0.281,,,
-0.546,-0.494,-0.642,-0.449,,,
-0.457,-0.423,-0.503,-0.411,,,
-0.436,-0.43,-0.31,-0.563,,,
-0.587,-0.514,-0.531,-0.643,,,
-0.508,-0.447,-0.494,-0.523,,,
-0.382,-0.36,-0.352,-0.413,,,
-0.434,-0.461,-0.368,-0.5,,,
-0.661,-0.642,-0.94,-0.381,,,
-0.792,-0.81,-1.014,-0.57,,,
-1.045,-0.993,-1.556,-0.534,,,
-0.845,-0.748,-1.231,-0.458,,,
-0.427,-0.401,-0.553,-0.3,,,
-0.515,-0.564,-0.466,-0.564,,,
-0.572,-0.59,-0.622,-0.522,,,
-0.442,-0.476,-0.287,-0.597,,,
-0.244,-0.273,-0.119,-0.368,,,
-0.287,-0.311,-0.235,-0.339,,,
-0.365,-0.442,-0.322,-0.408,,,
-0.304,-0.287,-0.248,-0.361,,,
-0.405,-0.44,-0.425,-0.384,,,
-0.485,-0.366,-0.615,-0.354,,,
-0.628,-0.502,-0.849,-0.406,,,
-0.429,-0.395,-0.438,-0.421,,,
-0.512,-0.386,-0.482,-0.542,,,
-0.537,-0.413,-0.465,-0.609,,,
-0.519,-0.469,-0.366,-0.673,,,
-0.584,-0.53,-0.522,-0.645,,,
-0.392,-0.345,-0.202,-0.582,,,
-0.354,-0.337,-0.226,-0.481,,,
-0.44,-0.449,-0.301,-0.578,,,
-0.399,-0.473,-0.307,-0.491,,,
-0.46,-0.439,-0.549,-0.371,,,
-0.552,-0.432,-0.604,-0.499,,,
-0.636,-0.541,-0.88,-0.392,,,
-0.642,-0.703,-0.808,-0.476,,,
-0.618,-0.534,-0.744,-0.492,,,
-0.461,-0.435,-0.352,-0.57,,,
-0.483,-0.449,-0.408,-0.557,,,
-0.425,-0.365,-0.447,-0.403,,,
-0.335,-0.362,-0.249,-0.421,,,
-0.377,-0.306,-0.402,-0.352,,,
-0.394,-0.296,-0.187,-0.602,,,
-0.326,-0.352,-0.19,-0.462,,,
-0.321,-0.291,-0.311,-0.332,,,
